"source","feed","url","verified_at","latest_item_at","census_division","state_abbr","county","fips","rucc_2023","metro_status"
"Miami New Times","Miami New Times","https://www.miaminewtimes.com/feed/","2026-08-26T04:24:44.926916Z","2026-08-25T21:25:13Z","South Atlantic","FL","Miami-Dade County","12086","1","Metro"
"Miami Today","Miami Today","https://www.miamitodaynews.com/feed/","2026-08-26T04:24:45.593076Z","2026-08-19T07:18:00Z","South Atlantic","FL","Miami-Dade County","12086","1","Metro"
"Nassau County Record","Nassau County Record, Callahan, Florida","https://www.nassaucountyrecord.com/rss.xml","2026-08-26T04:24:45.177821Z","2026-08-18T18:24:18Z","South Atlantic","FL","Nassau County","12089","1","Metro"
"New Times Broward","Broward Palm Beach New Times","https://www.browardpalmbeach.com/feed/","2026-08-26T15:09:33.738032Z","2026-08-13T16:00:00Z","South Atlantic","FL","Palm Beach County","12099","1","Metro"
"News-Leader","News-Leader, Fernandina Beach Florida","https://www.fbnewsleader.com/rss.xml","2026-08-26T04:24:47.078172Z","2026-08-21T16:06:25Z","South Atlantic","FL","Nassau County","12089","1","Metro"
"Newscaster","The Newscaster","https://thenewscaster.substack.com/feed","2026-08-26T14:57:44.951787Z",,"South Atlantic","FL","Levy County","12075","2","Metro"
"Orlando Weekly","Orlando Weekly","https://www.orlandoweekly.com/feed/","2026-08-26T14:57:44.968143Z","2026-08-26T14:24:48Z","South Atlantic","FL","Orange County","12095","1","Metro"
"Osprey Observer","Osprey Observer","https://www.ospreyobserver.com/feed/","2026-08-26T04:24:47.089865Z","2026-08-25T18:37:31Z","South Atlantic","FL","Hillsborough County","12057","1","Metro"
"Palatka Daily News","Palatka Daily News","https://www.palatkadailynews.com/feed/","2026-08-26T15:09:39.648117Z","2026-08-26T09:11:09Z","South Atlantic","FL","Putnam County","12107","4","Nonmetro"
"Pine Island Eagle","Pineisland Eagle","https://www.pineisland-eagle.com/feed/","2026-08-26T15:09:39.621165Z","2026-08-26T10:55:10Z","South Atlantic","FL","Lee County","12071","2","Metro"
"Pine Island News","Pine Island News","http://www.pineislandnews.com/?q=rss.xml","2026-08-26T14:57:44.263030Z","2026-07-23T16:46:05Z","South Atlantic","FL","Lee County","12071","2","Metro"
"Santa Rosa Press Gazette","Santa Rosa Press Gazette","https://srpressgazette.com/feed/","2026-08-26T14:57:49.155307Z","2026-08-26T13:25:23Z","South Atlantic","FL","Santa Rosa County","12113","2","Metro"
"Scottish Banner","The Scottish Banner","https://www.scottishbanner.com/feed/","2026-08-26T14:57:49.185814Z","2026-08-26T00:15:52Z","South Atlantic","FL","Pinellas County","12103","1","Metro"
"Southwest Florida Online","Southwest Florida Online - Hendry and Glades County","http://feeds.feedburner.com/SouthwestFloridaOnline-SundayMorningNews","2026-08-26T04:24:54.822830Z","2026-08-24T19:54:15Z","South Atlantic","FL","Hendry County","12051","4","Nonmetro"
"Star","The Port St. Joe Star","https://gulfcounty.news/feed/","2026-08-26T14:57:49.236458Z","2026-08-25T14:58:48Z","South Atlantic","FL","Gulf County","12045","8","Nonmetro"
"The Famuan Online","The FAMUAN","https://www.thefamuanonline.com/feed/","2026-08-26T14:57:49.319886Z","2026-06-02T14:11:43Z","South Atlantic","FL","Leon County","12073","2","Metro"
"The Oracle","The Oracle","https://www.usforacle.com/feed/","2026-08-26T14:57:50.616178Z","2026-08-25T16:12:55Z","South Atlantic","FL","Hillsborough County","12057","1","Metro"
"Town-Crier","Town-Crier Newspaper","https://gotowncrier.com/feed/","2026-08-26T14:57:53.083046Z","2026-08-21T13:30:14Z","South Atlantic","FL","Palm Beach County","12099","1","Metro"
"Tribune","The Boca Raton Tribune","https://www.bocaratontribune.com/feed/","2026-08-26T04:24:55.954746Z","2026-08-26T01:44:04Z","South Atlantic","FL","Palm Beach County","12099","1","Metro"
"University Press","FAU University Press","https://www.upressonline.com/feed/","2026-08-26T04:24:56.652607Z","2026-08-26T02:12:09Z","South Atlantic","FL","Palm Beach County","12099","1","Metro"
"Villages-News.com","Villages-News.com","https://www.villages-news.com/feed/","2026-08-26T04:24:55.689170Z","2026-08-26T01:00:52Z","South Atlantic","FL","Sumter County","12119","3","Metro"
"Waterfront Times","Waterfront Times","https://waterfronttimes.com/rss.xml","2026-08-26T04:25:04.516096Z","2026-08-25T15:55:04Z","South Atlantic","FL","Broward County","12011","1","Metro"
"Weekly","Orlando Weekly","https://www.orlandoweekly.com/feed/?partner-feed=all","2026-08-26T04:25:04.521375Z","2026-08-25T21:15:45Z","South Atlantic","FL","Orange County","12095","1","Metro"
"West Orange Times","www.orangeobserver.com stories: All","https://www.orangeobserver.com/rss/headlines/all/","2026-08-26T14:57:46.015384Z","2026-08-26T13:39:00Z","South Atlantic","FL","Orange County","12095","1","Metro"
"West Volusia Beacon","The West Volusia Beacon","https://www.beacononlinenews.com/feed/","2026-08-26T15:09:29.128067Z","2026-08-26T13:40:08Z","South Atlantic","FL","Volusia County","12127","2","Metro"
"Windermere Sun","Windermere Sun-For Healthier/Happier/More Sustainable Living","http://www.windermeresun.com/feed/","2026-08-26T04:25:04.544315Z","2026-08-18T04:24:50Z","South Atlantic","FL","Orange County","12095","1","Metro"
"Your Observer","www.yourobserver.com stories: News","https://www.yourobserver.com/rss/headlines/latest/all/","2026-08-26T14:57:54.704384Z","2026-08-26T09:00:00Z","South Atlantic","FL","Sarasota County","12115","2","Metro"
"YourObserver.com","www.yourobserver.com stories: News","https://www.yourobserver.com/rss/headlines/sarasota/news/mrss/","2026-08-26T14:57:51.089719Z","2026-08-26T09:00:00Z","South Atlantic","FL","Sarasota County","12115","2","Metro"
"Advance","The Advance","https://www.theadvancenews.com/feed/","2026-08-26T15:09:45.729643Z","2026-08-26T04:05:50Z","South Atlantic","GA","Toombs County","13279","7","Nonmetro"
"Americus Times Recorder","Americus Times-Recorder","https://americustimesrecorder.com/feed/","2026-08-26T15:09:45.383135Z","2026-08-25T13:23:38Z","South Atlantic","GA","Sumter County","13261","6","Nonmetro"
"Bainbridge Post-Searchlight","The Post-Searchlight","https://thepostsearchlight.com/feed/","2026-08-26T15:09:45.972940Z","2026-08-26T14:52:01Z","South Atlantic","GA","Decatur County","13087","6","Nonmetro"
"Barnesville Herald Gazette","Barnesville.com","https://barnesville.com/feed/","2026-08-26T14:57:55.271336Z","2026-08-24T20:22:53Z","South Atlantic","GA","Lamar County","13171","6","Nonmetro"
"Baxley News-Banner","The Baxley News-Banner","https://www.baxleynewsbanner.com/feed/","2026-08-26T14:57:55.305182Z","2026-08-14T19:06:44Z","South Atlantic","GA","Appling County","13001","7","Nonmetro"
"Brightside News","Bright Side Digital Newspaper","https://brightsidenewspapernews.com/feed/","2026-08-26T14:57:55.362559Z","2026-08-11T11:00:39Z","South Atlantic","GA","Cobb County","13067","1","Metro"
"Brookhaven Reporter","Brookhaven News - Rough Draft Atlanta","https://roughdraftatlanta.com/category/brookhaven/feed/","2026-08-26T04:25:06.903847Z","2026-08-24T20:01:03Z","South Atlantic","GA","DeKalb County","13089","1","Metro"
"Bryan County News","Bryan County News","https://www.bryancountynews.com:443/rss/","2026-08-26T14:57:51.656748Z","2026-08-26T00:33:29Z","South Atlantic","GA","Bryan County","13029","2","Metro"
"Buckhead Reporter","Buckhead News - Rough Draft Atlanta","https://roughdraftatlanta.com/category/buckhead/feed/","2026-08-26T04:25:14.572002Z","2026-08-26T00:59:27Z","South Atlantic","GA","Cobb County","13067","1","Metro"
"Calhoun Times","www.northwestgeorgianews.com - RSS Results in calhoun_times of type article","https://www.northwestgeorgianews.com/search/?f=rss&t=article&c=calhoun_times&l=50&s=start_time&sd=desc","2026-08-26T14:57:56.847005Z","2026-06-02T12:12:00Z","South Atlantic","GA","Gordon County","13129","4","Nonmetro"
"Central Georgian","Georgia News Roundup: Crime & Investigations Across Georgia","https://thecentralgeorgian.com/feed/","2026-08-26T14:57:59.130364Z","2026-08-26T13:28:11Z","South Atlantic","GA","Bibb County","13021","3","Metro"
"Charlton County Herald","Charlton County Herald","https://www.charltoncountyherald.com/feed/","2026-08-26T14:57:57.466375Z","2026-08-25T19:00:02Z","South Atlantic","GA","Charlton County","13049","8","Nonmetro"
"Citizen","The Citizen","https://thecitizen.com/feed/","2026-08-26T14:57:57.478795Z","2026-08-26T10:00:00Z","South Atlantic","GA","Fayette County","13113","1","Metro"
"Claxton Enterprise","The Claxton Enterprise","https://www.claxtonenterprise.com/feed/","2026-08-26T04:25:14.625689Z","2026-08-20T00:00:00Z","South Atlantic","GA","Evans County","13109","8","Nonmetro"
"Clayton Tribune","The Clayton Tribune, Rabun County, GA","https://www.theclaytontribune.com/rss.xml","2026-08-26T04:25:15.289703Z","2026-08-22T17:10:04Z","South Atlantic","GA","Rabun County","13241","9","Nonmetro"
"Clinch County News","The Clinch County News","https://www.theclinchcountynews.com/feed/","2026-08-26T04:25:16.173013Z","2026-08-05T15:25:15Z","South Atlantic","GA","Clinch County","13065","8","Nonmetro"
"Coastal Courier","Coastal Courier","https://coastalcourier.com/rss/","2026-08-26T14:58:19.803309Z","2026-08-23T19:06:06Z","South Atlantic","GA","Liberty County","13179","3","Metro"
"Connect Savannah","Connect Savannah","https://www.connectsavannah.com/feed/","2026-08-26T14:57:59.717756Z","2026-08-26T13:26:36Z","South Atlantic","GA","Chatham County","13051","2","Metro"
"Cordele Dispatch","Cordele Dispatch","https://cordeledispatch.com/feed/","2026-08-26T15:32:15.508672Z","2026-08-24T18:13:18Z","South Atlantic","GA","Crisp County","13081","6","Nonmetro"
"Dahlonega Nugget","The Dahlonega Nugget, Dahlonega, GA - The Gold of the News","https://www.thedahloneganugget.com/rss.xml","2026-08-26T04:25:16.667439Z","2026-08-20T13:15:33Z","South Atlantic","GA","Lumpkin County","13187","1","Metro"
"Dawson News & Advertiser","Dawson County News","https://www.dawsonnews.com/rss/","2026-08-26T14:57:59.742416Z","2026-08-26T03:00:01Z","South Atlantic","GA","Dawson County","13085","1","Metro"
"Donalsonville News","The Donalsonville News","https://www.donalsonvillenews.com/feed/","2026-08-26T14:57:59.768635Z","2026-08-20T00:58:52Z","South Atlantic","GA","Seminole County","13253","8","Nonmetro"
"Early County News","Early County News","https://www.earlycountynews.com/feed/","2026-08-26T15:09:55.420053Z","2026-08-26T00:00:00Z","South Atlantic","GA","Early County","13099","8","Nonmetro"
"Effingham Herald","Effingham Herald","https://www.effinghamherald.net/rss/","2026-08-26T14:58:01.448792Z","2026-08-26T11:56:23Z","South Atlantic","GA","Effingham County","13103","2","Metro"
"El Nuevo Georgia","El Nuevo Georgia","https://elnuevogeorgia.com/feed/","2026-08-26T04:25:24.588502Z","2026-08-25T13:34:31Z","South Atlantic","GA","Cobb County","13067","1","Metro"
"Elberton Star","The Elberton Star, Elberton, Georgia","https://www.elberton.com/rss.xml","2026-08-26T04:25:24.606612Z","2026-08-19T14:52:21Z","South Atlantic","GA","Elbert County","13105","6","Nonmetro"
"Forsyth County News","Homepage","https://www.forsythnews.com/rss/","2026-08-26T14:58:02.011053Z","2026-08-26T01:21:25Z","South Atlantic","GA","Forsyth County","13117","1","Metro"
"Franklin County Citizen","Franklin County Citizen Leader, Lavonia, Georgia","https://www.franklincountycitizen.com/rss.xml","2026-08-26T04:25:26.647059Z","2026-08-19T19:13:09Z","South Atlantic","GA","Franklin County","13119","8","Nonmetro"
"George-Anne","The George-Anne Media Group","https://thegeorgeanne.com/feed/","2026-08-26T14:58:00.905979Z","2026-08-25T22:50:22Z","South Atlantic","GA","Bulloch County","13031","4","Nonmetro"
"Gwinnett Citizen","Gwinnett Citizen","https://gwinnettcitizen.com/feed/","2026-08-26T14:58:01.988307Z","2026-08-26T13:06:27Z","South Atlantic","GA","Gwinnett County","13135","1","Metro"
"Hartwell Sun","Hartwell Sun, Hartwell, Georgia","https://www.thehartwellsun.com/rss.xml","2026-08-26T04:25:25.189373Z","2026-08-20T14:22:10Z","South Atlantic","GA","Hart County","13147","6","Nonmetro"
"Islander","The Islander Newspaper","https://www.theislanderonline.com/feed/","2026-08-26T14:58:07.303114Z","2026-08-25T18:50:08Z","South Atlantic","GA","Glynn County","13127","3","Metro"
"Jeff Davis County Ledger","Jeff Davis Ledger","https://www.jdledger.com/feed/","2026-08-26T14:58:05.946098Z","2026-08-26T14:24:25Z","South Atlantic","GA","Jeff Davis County","13161","9","Nonmetro"
"Jones County News","The Jones County News","https://www.jcnews.com/rss.xml","2026-08-26T04:25:26.147430Z","2026-08-19T11:03:43Z","South Atlantic","GA","Jones County","13169","3","Metro"
"Metter Advertiser","Metter Advertiser","https://www.metteradvertiser.com/feed/","2026-08-26T15:10:06.124820Z","2026-08-25T22:00:00Z","South Atlantic","GA","Candler County","13043","9","Nonmetro"
"Middle Georgia Informer","Middle Georgia Informer","https://www.gainformer.com/sitemap.rss","2026-08-26T15:21:10.725702Z","2026-08-07T17:09:44Z","South Atlantic","GA","Bibb County","13021","3","Metro"
"Millen News","The Millen News","https://www.themillennews.com/feed/","2026-08-26T15:10:06.014378Z","2026-08-25T21:25:00Z","South Atlantic","GA","Jenkins County","13165","9","Nonmetro"
"Miller County Liberal","Miller County Liberal","https://www.millercountyliberal.com/feed/","2026-08-26T15:10:06.770973Z","2026-08-25T14:00:00Z","South Atlantic","GA","Miller County","13201","9","Nonmetro"
"Monticello News","The Monticello News","https://www.themonticellonews.com/feed/","2026-08-26T14:58:06.359404Z","2026-08-24T21:41:12Z","South Atlantic","GA","Jasper County","13159","1","Metro"
"Moultrie Observer","Moultrie Observer","https://moultrieobserver.com/feed/","2026-08-26T15:10:05.207218Z","2026-08-26T14:52:15Z","South Atlantic","GA","Colquitt County","13071","6","Nonmetro"
"News Reporter","News Reporter","https://www.news-reporter.com/feed/","2026-08-26T14:58:08.807786Z","2026-06-30T07:01:07Z","South Atlantic","GA","Wilkes County","13317","8","Nonmetro"
"Northeast Georgian Online","The Northeast Georgian, Cornelia, Georgia","https://www.thenortheastgeorgian.com/rss.xml","2026-08-26T04:25:35.281835Z","2026-08-22T03:07:18Z","South Atlantic","GA","Habersham County","13137","6","Nonmetro"
"Pickens County Progress","PickensProgress.com","https://pickensprogress.com/feed/","2026-08-26T14:58:08.360197Z","2026-08-26T14:00:09Z","South Atlantic","GA","Pickens County","13227","1","Metro"
"Press-Sentinel","Jesup Press Sentinel","https://www.thepress-sentinel.com/rss.xml","2026-08-26T04:25:45.266123Z","2026-08-22T03:48:32Z","South Atlantic","GA","Wayne County","13305","6","Nonmetro"
"Sandy Springs Reporter","Sandy Springs News - Sandy Springs, GA","https://roughdraftatlanta.com/category/sandy-springs/feed/","2026-08-26T04:25:45.286787Z","2026-08-24T20:10:59Z","South Atlantic","GA","Fulton County","13121","1","Metro"
"Savannah Tribune","The Savannah Tribune","https://www.savannahtribune.com/feed/","2026-08-26T14:58:19.855985Z","2026-08-26T13:00:00Z","South Atlantic","GA","Chatham County","13051","2","Metro"
"Senior News","SeniorNewsGeorgia","https://seniornewsga.com/feed/","2026-08-26T14:58:18.093539Z","2026-08-03T22:03:45Z","South Atlantic","GA","Cobb County","13067","1","Metro"
"Statesboro Herald","Statesboro Herald","https://www.statesboroherald.com/rss/","2026-08-26T14:58:19.033147Z","2026-08-26T14:26:43Z","South Atlantic","GA","Bulloch County","13031","4","Nonmetro"
"The Champion","The Champion Newspaper | 404-373-7779 | Georgia","https://thechampionnewspaper.com/feed/atom/","2026-08-26T04:25:49.627499Z","2026-08-25T17:11:10Z","South Atlantic","GA","DeKalb County","13089","1","Metro"
"Thomasville Times Enterprise","Thomasville Times-Enterprise","https://timesenterprise.com/feed/","2026-08-26T15:10:12.776840Z","2026-08-26T13:19:21Z","South Atlantic","GA","Thomas County","13275","4","Nonmetro"
"Tifton Gazette","Tifton Gazette","https://tiftongazette.com/feed/","2026-08-26T15:10:12.292722Z","2026-08-26T14:48:15Z","South Atlantic","GA","Tift County","13277","5","Nonmetro"
"Times","Gainesville Times","https://www.gainesvilletimes.com/rss/","2026-08-26T14:58:19.454262Z","2026-08-26T14:32:35Z","South Atlantic","GA","Hall County","13139","3","Metro"
"Toccoa Record","The Toccoa Record, Toccoa, Georgia - tlaw@thetoccoarecord.com","https://www.thetoccoarecord.com/rss.xml","2026-08-26T04:25:52.076969Z","2026-08-20T18:32:26Z","South Atlantic","GA","Stephens County","13257","7","Nonmetro"
"Tribune and Georgian","Tribune & Georgian, St. Marys, Georgia","https://www.tribune-georgian.com/rss.xml","2026-08-26T04:25:52.076900Z","2026-08-20T17:02:55Z","South Atlantic","GA","Camden County","13039","4","Nonmetro"
"True Citizen","The True Citizen","https://www.thetruecitizen.com/feed/","2026-08-26T15:10:12.690729Z","2026-08-26T01:00:00Z","South Atlantic","GA","Burke County","13033","2","Metro"
"Union-Recorder","The Union-Recorder","https://unionrecorder.com/feed/","2026-08-26T15:10:13.498179Z","2026-08-26T11:00:35Z","South Atlantic","GA","Baldwin County","13009","4","Nonmetro"
"Valdosta Daily Times","Valdosta Daily Times","https://valdostadailytimes.com/feed/","2026-08-26T15:09:40.319989Z","2026-08-26T15:06:42Z","South Atlantic","GA","Lowndes County","13185","3","Metro"
"White County News","White County News, Cleveland, GA - White County News, Cleveland, GA","https://www.whitecountynews.net/rss.xml","2026-08-26T04:25:58.566029Z","2026-08-25T19:49:44Z","South Atlantic","GA","White County","13311","8","Nonmetro"
"Wiregrass Farmer","The Wiregrass Farmer","https://www.thewiregrassfarmer.com/feed/","2026-08-26T14:58:20.904245Z","2026-08-24T17:49:25Z","South Atlantic","GA","Turner County","13287","9","Nonmetro"
"Garden Island","The Garden Island","https://www.thegardenisland.com/feed/","2026-08-26T15:10:13.775641Z","2026-08-26T10:05:00Z","Pacific","HI","Kauai County","15007","5","Nonmetro"
"Hawaii Reporter.com","Hawaii Reporter","http://www.hawaiireporter.com/feed/","2026-08-26T04:25:58.600750Z","2026-08-24T20:32:00Z","Pacific","HI","Honolulu County","15003","1","Metro"
"Hawaii Tribune-Herald","Hawaii Tribune-Herald","https://www.hawaiitribune-herald.com/feed/","2026-08-26T15:10:12.652448Z","2026-08-26T10:05:00Z","Pacific","HI","Hawaii County","15001","5","Nonmetro"
"Honolulu Civil Beat","Honolulu Civil Beat","https://www.civilbeat.org/feed/","2026-08-26T14:58:21.962927Z","2026-08-26T10:01:00Z","Pacific","HI","Honolulu County","15003","1","Metro"
"Honolulu Star Advertiser","Honolulu Star-Advertiser","http://www.staradvertiser.com/feed/","2026-08-26T04:26:00.257348Z","2026-08-26T02:55:00Z","Pacific","HI","Honolulu County","15003","1","Metro"
"Maui News","Maui News","https://www.mauinews.com/feed/","2026-08-26T15:10:15.595470Z","2026-08-26T14:05:54Z","Pacific","HI","Maui County","15009","3","Metro"
"MidWeek","MidWeek","https://www.midweek.com/feed/","2026-08-26T04:26:00.033666Z","2026-08-19T10:00:40Z","Pacific","HI","Honolulu County","15003","1","Metro"
"North Shore News","North Shore News","https://northshorenews.com/feed/","2026-08-26T14:58:22.047431Z","2026-07-09T02:52:38Z","Pacific","HI","Honolulu County","15003","1","Metro"
"West Hawaii Today","West Hawaii Today","https://www.westhawaiitoday.com/feed/","2026-08-26T15:10:21.741256Z","2026-08-26T10:05:00Z","Pacific","HI","Hawaii County","15001","5","Nonmetro"
"Ackley World Journal","www.timescitizen.com - RSS Results in ackley_world_journal of type article","https://www.timescitizen.com/search/?f=rss&t=article&c=ackley_world_journal&l=50&s=start_time&sd=desc","2026-08-26T14:58:22.645138Z","2026-08-18T18:53:00Z","West North Central","IA","Franklin County","19069","9","Nonmetro"
"Atlantic News Telegraph","www.swiowanewssource.com - RSS Results in atlantic of type article","https://www.swiowanewssource.com/search/?f=rss&t=article&c=atlantic&l=50&s=start_time&sd=desc","2026-08-26T14:58:22.387544Z","2026-08-26T13:15:00Z","West North Central","IA","Cass County","19029","6","Nonmetro"
"Bedford Times-Press","Bedford Times-Press","https://www.bedfordtimes-press.com/feed/","2026-08-26T14:58:24.437241Z","2026-08-25T16:00:54Z","West North Central","IA","Taylor County","19173","9","Nonmetro"
"Charles City Press","Enterprise Media","https://www.charlescitypress.com/feed/","2026-08-26T15:10:22.922394Z","2026-08-26T15:09:43Z","West North Central","IA","Floyd County","19067","7","Nonmetro"
"Daily","Iowa State Daily","https://iowastatedaily.com/feed/","2026-08-26T14:58:23.644578Z","2026-08-26T05:08:34Z","West North Central","IA","Story County","19169","3","Metro"
"Daily Democrat","www.mississippivalleypublishing.com - RSS Results in daily_democrat of type article","https://www.mississippivalleypublishing.com/search/?f=rss&t=article&c=daily_democrat&l=50&s=start_time&sd=desc","2026-08-26T14:58:23.336951Z","2026-08-26T05:00:00Z","West North Central","IA","Lee County","19111","7","Nonmetro"
"Daily Freeman-Journal","The Freeman Journal","https://www.freemanjournal.net/feed/","2026-08-26T15:10:29.468659Z","2026-08-26T06:00:58Z","West North Central","IA","Hamilton County","19079","6","Nonmetro"
"Daily Gate City","www.mississippivalleypublishing.com - RSS Results in daily_gate of type article","https://www.mississippivalleypublishing.com/search/?f=rss&t=article&c=daily_gate&l=50&s=start_time&sd=desc","2026-08-26T14:58:26.312711Z","2026-08-26T14:05:00Z","West North Central","IA","Lee County","19111","7","Nonmetro"
"Daily Iowan","The Daily Iowan","https://dailyiowan.com/feed/","2026-08-26T14:58:26.332556Z","2026-08-26T03:49:05Z","West North Central","IA","Johnson County","19103","3","Metro"
"Denver Forum","The Denver Forum","https://denveriaforum.com/feed/","2026-08-26T14:58:26.429648Z","2026-08-21T02:35:02Z","West North Central","IA","Bremer County","19017","3","Metro"
"Glenwood Opinion-Tribune","The Opinion-Tribune","https://www.opinion-tribune.com/rss.xml","2026-08-26T14:58:32.469762Z","2026-08-25T21:58:38Z","West North Central","IA","Mills County","19129","2","Metro"
"Grundy Register","The Grundy Register","https://thegrundyregister.com/rss.xml","2026-08-26T04:26:11.484378Z","2026-08-26T03:14:22Z","West North Central","IA","Grundy County","19075","3","Metro"
"Hampton Chronicle","Hampton Chronicle","https://hamptonchronicle.com/rss.xml","2026-08-26T04:26:11.036992Z","2026-08-25T16:57:03Z","West North Central","IA","Franklin County","19069","9","Nonmetro"
"Harlan Tribune","Harlan News","https://www.harlanonline.com/rss.xml","2026-08-26T04:26:13.690882Z","2026-07-31T16:48:47Z","West North Central","IA","Shelby County","19165","8","Nonmetro"
"Hometowner","The Akron Hometowner","http://akronhometowner.com/rss.xml","2026-08-26T15:21:34.096850Z","2026-08-26T12:07:20Z","West North Central","IA","Plymouth County","19149","6","Nonmetro"
"Simpsonian","The Simpsonian","https://thesimpsonian.com/feed/","2026-08-26T04:26:30.367964Z","2026-08-14T15:00:20Z","West North Central","IA","Warren County","19181","2","Metro"
"Times-Delphic","The Times-Delphic","https://timesdelphic.com/feed/","2026-08-26T04:26:40.099943Z","2026-08-22T22:55:17Z","West North Central","IA","Polk County","19153","2","Metro"
"Arbiter","The Arbiter","https://www.arbiteronline.com/feed/","2026-08-26T04:26:41.633405Z","2026-07-24T17:23:01Z","Mountain","ID","Ada County","16001","2","Metro"
"Argonaut","The Argonaut","https://www.uiargonaut.com/feed/","2026-08-26T04:26:41.662145Z","2026-07-30T00:14:25Z","Mountain","ID","Latah County","16057","4","Nonmetro"
"Idaho Business Review","Idaho Business Review","http://idahobusinessreview.com/feed/","2026-08-26T04:26:44.492441Z","2026-08-25T18:16:44Z","Mountain","ID","Ada County","16001","2","Metro"
"Scroll","BYU-Idaho Scroll","https://byuiscroll.org/feed/","2026-08-26T04:26:51.692872Z","2026-07-28T00:00:00Z","Mountain","ID","Madison County","16065","4","Nonmetro"
"Chicago Crusader","Chicago Crusader Newspaper","https://chicagocrusader.com/feed/","2026-08-26T04:26:56.961941Z","2026-08-24T16:26:27Z","East North Central","IL","Cook County","17031","1","Metro"
"Chicago Reader","Chicago Reader","https://chicagoreader.com/feed/","2026-08-26T04:26:56.978647Z","2026-08-25T19:20:34Z","East North Central","IL","Cook County","17031","1","Metro"
"Chicago Reporter","The Chicago Reporter","https://www.chicagoreporter.com/feed/","2026-08-26T04:26:56.998355Z","2026-08-20T16:00:00Z","East North Central","IL","Cook County","17031","1","Metro"
"Daily Egyptian","The Daily Egyptian","https://dailyegyptian.com/feed/","2026-08-26T04:26:59.063456Z","2026-08-25T22:40:54Z","East North Central","IL","Jackson County","17077","5","Nonmetro"
"Daily Herald","Daily Herald RSS Feeds - Top Stories","https://www.dailyherald.com/rssfeed/top-stories/","2026-08-26T04:26:58.491341Z","2026-08-25T23:15:47Z","East North Central","IL","Cook County","17031","1","Metro"
"Daily Northwestern","The Daily Northwestern","https://dailynorthwestern.com/feed/","2026-08-26T04:26:58.549783Z","2026-08-25T05:53:14Z","East North Central","IL","Cook County","17031","1","Metro"
"Draugas","DRAUGAS","https://www.draugas.org/feed/","2026-08-26T04:27:03.168122Z","2026-08-22T13:38:43Z","East North Central","IL","Cook County","17031","1","Metro"
"Eastern News","The Daily Eastern News","https://www.dailyeasternnews.com/feed/","2026-08-26T04:27:04.118612Z","2026-08-25T22:46:29Z","East North Central","IL","Coles County","17029","5","Nonmetro"
"Fra Noi","Fra Noi","http://franoi.com/feed/","2026-08-26T04:27:06.429455Z","2026-08-05T13:55:45Z","East North Central","IL","Cook County","17031","1","Metro"
"Illini","The Daily Illini","https://dailyillini.com/feed/","2026-08-26T04:27:11.730859Z","2026-08-25T23:14:21Z","East North Central","IL","Champaign County","17019","3","Metro"
"Irish American News","Home","https://irishamericannews.com/index.php?format=feed&type=atom","2026-08-26T04:27:14.107631Z","2026-08-21T16:10:10Z","East North Central","IL","Cook County","17031","1","Metro"
"Iroquois County Time-Republic","www.newsbug.info - RSS Results in iroquois_countys_times-republic of type article","https://www.newsbug.info/search/?f=rss&t=article&c=iroquois_countys_times-republic&l=50&s=start_time&sd=desc","2026-08-26T04:27:12.503160Z","2026-08-12T17:02:00Z","East North Central","IL","Iroquois County","17075","8","Nonmetro"
"La Raza","La Raza","https://laraza.com/feed/","2026-08-26T04:27:19.980469Z","2026-08-24T22:20:12Z","East North Central","IL","Cook County","17031","1","Metro"
"Lawndale News","Chicago Hispanic Newspaper, Lawndale News,  Hispanic Bilingual Newspapers, Su Noticiero Bilingue","http://www.lawndalenews.com/feed/","2026-08-26T04:27:21.759880Z","2026-08-20T11:22:48Z","East North Central","IL","Cook County","17031","1","Metro"
"Macoupin County Enquirer-Democrat","Enquirer Democrat","https://www.enquirerdemocrat.com/feed/","2026-08-26T04:27:20.925077Z","2026-08-19T15:20:36Z","East North Central","IL","Macoupin County","17117","1","Metro"
"Mascoutah Herald","Herald Publications","https://www.heraldpubs.com/feed/","2026-08-26T04:27:22.017215Z","2026-08-25T14:49:04Z","East North Central","IL","St. Clair County","17163","1","Metro"
"Nadig Newspapers","Nadig Newspapers – Northwest Side Local Newspapers","https://nadignewspapers.com/feed/","2026-08-26T04:27:26.177092Z","2026-08-25T19:05:01Z","East North Central","IL","Cook County","17031","1","Metro"
"Pantagraph","pantagraph.com - RSS Results of type article with keyword(s) of #topstory","https://pantagraph.com/search/?f=rss&t=article&l=50&s=start_time&sd=desc&k%5B%5D=%23topstory","2026-08-26T04:27:29.496485Z","2026-07-19T12:00:00Z","East North Central","IL","McLean County","17113","3","Metro"
"The Journal","The Journal","https://uisjournal.com/feed/","2026-08-26T04:27:37.953109Z","2026-08-26T03:45:31Z","East North Central","IL","Sangamon County","17167","3","Metro"
"Woodford County Journal","pantagraph.com - RSS Results in wcj of type article","https://pantagraph.com/search/?f=rss&t=article&c=wcj&l=50&s=start_time&sd=desc","2026-08-26T04:27:48.501238Z","2026-08-19T17:00:00Z","East North Central","IL","Woodford County","17203","2","Metro"
"Butler Collegian","The Butler Collegian","https://thebutlercollegian.com/feed/","2026-08-26T04:27:50.008659Z","2026-08-24T03:55:05Z","East North Central","IN","Marion County","18097","1","Metro"
